clean_text,label
nói cái gì liên miên vãi,NEGATIVE
sim đều thành công cảm ơn anh nhìu lắm nay anh đẹp troai nhứt nách,POSITIVE
nó bắt xác minh anh ơi,NEGATIVE
người biên tập xây dựng hay xem hết series năm rất xúc động và tự hào mấy cái này đưa vào trường học cho các em hoc sinh sinh vieen xem cũng ý nghĩa,POSITIVE
con đt sony đó tên gì v ạ nó đẹp quá,NEUTRAL
mấy nước không có công ty tập đoàn viễn thông nào vào chiếm lĩnh là viettel lập tức phi vào ôm trọn cả đất nước đó luôn,NEUTRAL
how come there s no english language for international customers hey come on we world people are ready to support your brand anytimeif they just speak english let s face the reality,NEGATIVE
sim khong duoc may cái sim mua để đăng kí mã hs duoc cảm ơn a nhiều lắm,POSITIVE
đoạn sau chỉ vừa nghe vừa cảm nhận sự tự hào không hề nhẹ trong lồng ngực,POSITIVE
làm đủa các kiểu theo huwosng dẫn cũng khong quét được,NEGATIVE
từ khi xài fpt mình chán game nào xóa luôn khỏi suy nghĩ hôm sau muốn chơi lại chỉ cần ấn download xg pha ly nước lên ngồi là vừa xong download game toàn với tốc độ mb s,POSITIVE
dịch vụ không hỗ trợ thù đăng kí thế nào ad,NEGATIVE
ah cho em hỏi là khi mình muốn nạp game hay mua một cái gì đó là nó sẽ trừ tiền có trong sim của mình hay là nó trừ tiền có trong thẻ ngân hàng của mình vậy ạ mong anh giải đáp,NEUTRAL
một thành quả đáng để tự hào chiến thắng trên mặt trận kinh tế nó không kém vẻ vang hơn trên mặt trận quân sự,POSITIVE
tui vì quang hải mới vô đây,NEUTRAL
anh ơi em đăng kí được thành công nhưng đến ngày thứ làm sao để sài tiếp vậy ạ em sử dụng hết gb của ngày qua đến ngày thứ thì không có ạ,NEGATIVE
video hay quá,POSITIVE
vừa đúng lúc hết hạn g đăng ký luôn max g,POSITIVE
cái này thà mua một cái sim g hoặc là sim đom dùng còn sướng hơn là có bg xài thoải mái luon,NEGATIVE
trang youtobe như gà thị trường châu âu nào đây châu mỹ mẹ à khong biết gì về địa lý à,NEGATIVE
cho chị hỏi sim chính chủ nhưng ít nộp tiền hạn rất ngắn giờ chị phải làm sao cho hạn dài ngày em nhỉ,NEUTRAL
fpt kg nên xài xài năm trang bị mode băng tần gọi lên hỗ trợ kêu mua wifi khong trong khi viettel mới dùng năm đã trang bị băng tần miễn phí cho người dùng năm được home wifi miễn phí năm trang bị luôn wifi miễn phí cho khách hàng fpt thua xa kể cả cách phục vụ khách hàng không nhanh gọn lẹ như viettel viettel mãi đỉnh đúng quân đội nghỉ được làm được,POSITIVE
đang nói peru là quốc gia nam mỹ là khu vực rừng già amazon xong lại nói là thị trường châu âu giàu có là cái ý muốn nói gì vậy,NEGATIVE
gửi vào đâu ạ,NEUTRAL
cảm ơn anh zai đã đăng ký duoc r,POSITIVE
tui thề là thấy quang hải tôi mới vào xem quảng cáo thôi khong bao jo ưa quảng cáo,NEUTRAL
nói đến viettel thì chỉ có nói theo cách của bạn,POSITIVE
khâm phục những con người viettel,POSITIVE
peru thu nhập bình quân đầu người hơn vn thôi chứ về sức mạnh nền kinh tế sao bằng vn peru còn nghèo lắm công nghệ chưa có gì cả add nên tìm hiểu thông tin thêm nhé,NEGATIVE
mình đã đký thành công c ơn anh đã hd,POSITIVE
hát karaoke vẫn bị lệch,NEGATIVE
clm đen như cko sim khong trúng,NEGATIVE
top những tập đoàn có sức ảnh hưởng đến toàn cầu viettel đứng trên toyota thì chúng nên tự hào,POSITIVE
noi bizt sa czng,NEUTRAL
website hỗ trợ đăng ký mimaxg nhanh tại đây,NEUTRAL
tự dưng có g dùng đến tết,POSITIVE
từ năm ngoái đã đổi qua sim viettel để xài quá tự hào,POSITIVE
hai sim duoc hết luôn h xài khong bt lm s hết lun,POSITIVE
ad cho em hỏi số không ba năm ba hai tám năm năm ba bốn có đăng kí được gói umaxg không ạ,NEUTRAL
đây gọi là ảo tưởng và ngộ nhận,NEGATIVE
thua em dung ban xôi,NEGATIVE
o xa hoi nghia tan uyen binh duong co phu song g chua chi,NEUTRAL
vậy khi thanh toán chỉ cần nạp tiền vào điện thoại đúng khong ạ,NEUTRAL
ê còn iphone thiếu chữ hoa la g hoặc g kìa,NEUTRAL
mong viettel phát triển mạnh phủ sóng thêm nhiều quốc gia,POSITIVE
anh ơi bao h iphone mới có điện thoại gập,NEUTRAL
ad cho em hỏi sim nào thì mới đk được ạ,NEUTRAL
rất tự hào về viettel của chúng ta,POSITIVE
noi bizt sa czng,NEUTRAL
viettel hãy nói theo cánh của bạn,POSITIVE
dù sao thì viettel cũng có g đầu tiên hy vọng các nhà mạng còn lại cũng có gói tương mimaxg trong tương lai,POSITIVE
chúng ta chỉ là những người bàn luận còn thực chất trong chiến trường này viettel đã rất giỏi rồi khâm phục cách nhìn nhận của viettel,POSITIVE
cảm phục và trân trọng viettel,POSITIVE
rẻ là thích rồi,POSITIVE
ok t làm được nha thử nếu muốn,POSITIVE
có bị mất tiền khong,NEUTRAL
em soạn rồi cũng bị như vậy luôn,NEGATIVE
cách thay đổi tốt nhất là giảm giá cước g tăng tốc độ lên chứ đừng dùng mấy cái cljp nhảm này để pr nữa thân gửi phùng quang thanh,NEGATIVE
hãy nói theo cách của bạn và thu tiền theo cách của chúng tôi xd,NEGATIVE
g g nên hỏi sao sai g này khong ghi mà ghi g này,NEUTRAL
rất tuyệt vời,POSITIVE
em duoc nè anh,POSITIVE
đăng kí duoc cảm ơn bạn,POSITIVE
ứng dụng nước ngoài nó bảo khong có ở quốc gia mình thì làm sao,NEGATIVE
đen rat sao mỗi t khong duoc vậy,NEGATIVE
hay quá trời được luôn anh zai ơi,POSITIVE
em không đăng ký được,NEGATIVE
em đăng ký duoc rồi cảm ơn anh nha,POSITIVE
tụi quản lý sim khách chơi ngon đang dùng g chuyển qua e g tụi này chơi ngon cung cấp cho khách rồi đòi thu sim khách chuyển qua dùng mạng khách tụt doanh số hết ngồi chơi,NEGATIVE
bao giờ viettel làm cái app thay thế zalo vậy mong lắm lắm,POSITIVE
cali nhìn chắc khóc thét,POSITIVE
viettel vừa đắt vừa chất lượng kém,NEGATIVE
xem vì bích phương,NEUTRAL
sao mình dky thì nhận duoc ct không áp dụng cho thuê bao,NEGATIVE
quang hải ngầu quá,POSITIVE
giờ khong cho thanh toán nữa,NEGATIVE
uầy hôm nay a đẹp trai quá nên a chỉ em xài máy android nào sang mà lại hút gái như anh đi ạ,NEUTRAL
tin này cách này hơn năm các kênh đã đăng lại trên dưới trăm lần nay lại nhai lại bảo là mới đây trên trang mạng mới đưa thua bà,NEGATIVE
có cái nịt,NEGATIVE
xem vì có a hải,NEUTRAL
đăng kí như nào nhỉ,NEUTRAL
cho em hỏi umaxn hết data vẫn lướt tik tok được chứ,NEUTRAL
em được nè,POSITIVE
how come there s no english language for international customers hey come on we world people are ready to support your brand anytimeif they just speak english let s face the reality,NEGATIVE
em cũng như ah,NEUTRAL
không ba sau bảy chín năm năm năm tám bốn mong ad kiểm tra giúp em xem dk gói nào phù hợp ạ,NEUTRAL
không ba sáu sáu hai bảy một tám một bốn đăng ký gói nào ạ,NEUTRAL
ê được r anh iu a,POSITIVE
tại ông sài iphone iphone nó nặng mùi lắm làm gì cũng xui con samsung tui duoc hết nè,NEUTRAL
fpt đắt vãi thật,NEGATIVE
ui thank anh nhiều lắm,POSITIVE
viettel làm ăn như qq t thề khong nói phét tí nào mạng chập chờn liên tục gọi hỗ trợ thì toàn bot ktv hỗ trợ đang bận tháng liên tiếp nhé xong cứ nhắn tin hỏi thái độ phục vụ hỏi cái qq báo thay cục wifi thì bảo hiện tại trên địa bàn đã hết trung tâm thành phố cứ có phải nông thôn méo đâu như kiểu đi xin dcu ức éo chịu duoc t đang bận chưa có thời gian tìm hiểu nhà mạng khác để thay nốt tháng này cho chim cút khuyên ae khong dùng nhà mạng viettel,NEGATIVE
em khong duoc,NEGATIVE
sim g viettel chạy chạm không,NEUTRAL
uầy em đăng ký thành cônng,POSITIVE
dit me trừ hết mấy trăm của tao,NEGATIVE
quan trọng thằng nào ít bóp băng thông có gb nó bóp cũng lag,NEGATIVE
mobi đâu a,NEUTRAL
a bắt tay với e tí tạch luôn,NEGATIVE
mạng của vn bay cao bay xa,POSITIVE
viettel là niềm tự hào cho dân tộc việt nhưng như có bạn đọc đã nhắc rất hay kinh doanh để lấy lợi nhuận là một lẽ ngoài ra công ty việt nam mình hãy nêu cao tinh thần việt nam hồ chí minh hãy nhớ lại dân mình từng là nô lệ của ngoại bang mà hỗ trợ giúp đỡ tạo thêm tình yêu việt nam trong lòng nhân dân thế giới nơi mình đến làm ăn đó mới là thứ lợi nhuận cao nhất,POSITIVE
a di đà phật,NEUTRAL
góp ý một chút nói bớt múa tay múa quá nhiều nhìn kỳ cục lắm học mấy ac biên tập viên vtv ấy họ nói không đảo mắt tay giữ im biểu cảm ít,NEGATIVE
non đi em g năm,NEGATIVE
mong các bác vietel đầu tư mạnh vào công nghiệp quốc phòng,POSITIVE
có gói cước là được rồi trước không biết toàn dùng chay tốn pin lắm,ERROR
cho em hỏi thuê bao không ba tám hai bốn bốn bảy bảy không chín sao khong đăng kí duoc gói umaxg ạ,NEGATIVE
nếu khong có quang hải thì tôi khong xem quảng cáo này,NEGATIVE
có g đời không phải chờ rồi,POSITIVE
dịch vụ này giờ soạn tin vẫn cài bth phải khong ạ tại trước e cài dv này qua nhưng nay e vào khong thấy mục cài khong p này nữa,NEUTRAL
sao mạng viett giờ khong có chương trình tháng tăng tháng và một năm tang tháng nữa nhỉ,NEGATIVE
nói thì bảo tôi nói xấu chứ chỗ tôi đang ký mạng lúc sài được lúc không thì tiền vẫn trả đủ cho viettel bảo sao nó không giàu còn gọi cho thôi bỏ đi,NEGATIVE
gói umaxn và umaxg có gì khác nhau khong vậy ad,NEUTRAL
e nói thật chứ bây giờ g còn khỏe hơn wifi nhiều,POSITIVE
di doi co ma doi ca tieng,NEGATIVE
không giới hạn dung lượng,POSITIVE
yêu qh fan chân chính mình rât mê đá bóng cå nc ngoài lân vn,POSITIVE
những doanh nghiệp nào thành công được ở vn thì không ngán bất cứ nước nào vì môi trường kinh doanh ở vn vô cùng khắc nghiệt sản phẩm cổng hàng ngàn thứ phí từ chính thước tới khong chính thức cho nên nếu doanh nghiệp nào vượt qua được giai đoạn đầu và trung kì thì khong còn ngán bất cứ thị trường nào,POSITIVE
mới xem song và đăng kia chương trình khong áp dụng cho thê bảo của bạn cay thế nhờ,NEGATIVE
không giới hạn lưu lượng thế này thì thích rồi dùng mạng khỏe lại còn rẻ nữa,POSITIVE
h đàng sài vnpt mà qua viettel thì hủy mạng bên vnpt kiểu gi nhỉ ae,NEUTRAL
chiến lược lấy nông thôn vây thành thị là cái độc đáo giống như đánh mỹ trước đây,POSITIVE
không thấy phương thức thanh toán,NEGATIVE
ảo tưởng đến thế đã là cùng chưa nhưng thôi làm gì còn ai ảo tưởng hơn người kinh đâu,NEGATIVE
cho e hỏi e ở hải dương có sóng g chưa vậy,NEUTRAL
uầy được nè cảm ơn rất nhiều,POSITIVE
mình dùng vietel mà yếu quá mới cắt xong có mạng nào ổn định khong ak,NEGATIVE
đkm chờ lâu rat cuối cùng cũng chịu ra gói g khong giới hạn cứ toàn cắt mạng khi sử dụng hết dung lượng chắc tao éo dùng g luôn,POSITIVE
tổng đài sad có làm mới có ăn,NEGATIVE
tự hào về viettel,POSITIVE
ảo thật đấy,NEUTRAL
tin chuẩn chưa anh,NEUTRAL
ảo thật đấy e được này,POSITIVE
cảm ơn viettel tập đoàn viễn thông quân đội đã và và đang góp phần rất lớn phát triển kinh tế đất nước và an ninh quốc phòng,POSITIVE
phương xinh quóa,POSITIVE
đt em khong may mắn lắm,NEGATIVE
kêu dẹp sim rác không được thì cứ identified mãi à,NEGATIVE
chuyện này lâu rồi,NEUTRAL
ad cho hỏi là ngoài các nước mà viettel đã đầu tư mạng viên thông trước đây thì trong tương lai viettel còn dự định tiến vào các thị trường khác không,NEUTRAL
e được nè,POSITIVE
ngày tháng năm sinh trên cmnd khác với cd hệ thống khong cho cập nhật vậy phải ra cửa hàng à,NEGATIVE
cho em sđt tổng đài đăng ký g là số mấy,NEUTRAL
m đ kỳ,NEUTRAL
ủa a ơi cho e hỏi là có thể áp dụng bên vietnamobile duoc khong a hay áp dụng mỗi viettel thôi,NEUTRAL
cô gái cưỡi trên máy bay nhìn thú vị nhỉ,NEUTRAL
bao lâu nay mong giờ đã có mimax xịn hẳn trên nền g,POSITIVE
ơ sao mk lại là khong phải may mắn mà là quý khác khong duoc tham gia chương trình nhỉ,NEGATIVE
mn cho e hỏi tí sao logo mới chữ v trong từ viet khong duoc viết hoa vậy,NEUTRAL
ôi anh qh của tui,POSITIVE
mé sim phục duoc,POSITIVE
vingroup bán xe tại peru là ổn,POSITIVE
thị trường nào khoai nhất thì viettel chiếm sóng hahaha,POSITIVE
e trúng r,POSITIVE
cho em hỏi thuê bao không ba chín bốn ba sáu bốn một một bốn thì dùng gói khong được không ạ,NEUTRAL
cái nịt còn đúng cái nịt,NEGATIVE
mã bưu điện là sao ạ giải đáp giúp em với,NEUTRAL
đăng ký hôm qua rồi,NEUTRAL
chốt lại mạng rẻ sóng khỏe ngon vlin,POSITIVE
sao tôi không chuyển đổi qua gói cước tom được,NEGATIVE
nhạc hay lắm,POSITIVE
sao thấy ai cũng vào xem vì có quang hải vậy ta có ai xem vì bích phương như tui hong,NEUTRAL
peru châu mỹ chứ không phải châu âu ad ơi,NEGATIVE
làm ơn đi đường dây đẹp đẹp gọn gàng chút dây nào không sử dụng thì kêu thợ tháo bớt trời ơi nhìn cái đống bùi nhùi trên cột điện mà muốn sảng quấn vòng tròn nùi nùi trên cột điện tại sao tập đoàn lớn lại đi đường dây mất thẩm mỹ như vậy không nói đến mạng mạnh hay không nhưng mất thẩm mỹ và xấu xí là có thật cứ như chỉ biết thu tiền chứ xấu đẹp thì kệ mẹ vậy những nhân viên đi đường dây cực kỳ vô trách nhiệm đi đường dây dư ra là quấn vòng tròn đống trên cột điện chứ không cắt bớt không thể hiểu nổi,NEGATIVE
uầy được thật này sao anh hôm nay đẹp trai thế,POSITIVE
mấy năm gần đây viettel đang dậm chân tại chỗ mấy năm trước đấu thầu mạng bên philippin thua trung quốc còn indonesia là thị trường lớn nhưng mãi chưa chen chân vào được phải mãi tinh thần khởi nghiệp mới duoc,NEGATIVE
ad cho em hỏi số không ba tám ba ba bảy không sáu năm bốn sim từ xưa thì nên đk gói nào phù hợp giá cả phải chăng ạ,NEUTRAL
giờ không thanh toán được nưax,NEGATIVE
muốn thanh toán mà thấy phương thức thanh toán telecom hiện là không có mà hơn nữa là thẻ vib cũng bị lỗi là không có nữa tức thật,NEGATIVE
cháu toàn cmt không liên quan video nhưng mèo của chú gạo đẹp thật ấy,POSITIVE
vaii duoc luôn,POSITIVE
em thành công rồi này,POSITIVE
theo ý tôi thì chỉ cần cho chúng tôi xử dụng cái g tốc độ cao mà chúng tôi vẫn mua ấy tốt rồi miễn phí cái g tốc độ cao cần gì g để tốn kinh phí khi mà g vẫn đang chưa khai thác hết cho khách hàng lãng phí quá,NEGATIVE
em bị cụt tay cụt chân anh giúp em chơi genshin đi anh,NEUTRAL
uầy thấy anh đzz quá,POSITIVE
nhân viên thế này chúng tôi xin thua cô quá xuất sắc,POSITIVE
không ba bảy bảy sáu ba không bảy không không ad xem hộ em xem đăng ký được gói nào khong ạ,NEUTRAL
mỗi tháng nạp đều đều cho ông chú khong để lấy gb ngày,NEUTRAL
được rồi anh ưi mơn anh,POSITIVE
tuyệt vời viettel,POSITIVE
ae dùng vinalines kiểu,NEUTRAL
không thanh cong,NEGATIVE
đào coin nữa đê,NEUTRAL
anh đạt nay đẹp trai rat,POSITIVE
hê hê nay thấy quý anh ghê em đăng kí thành công,POSITIVE
bác phương đưa tui đến đây,NEUTRAL
viettel telecom là nó trừ tiên trong sim mình phải không anh,NEUTRAL
hên v l anh ạ,POSITIVE
vậy ở nam định có sóng g chưa àd,NEUTRAL
cho em hỏi số không ba sau bảy một sau ba không hai không dùng gói nào khong giới hạn lướt fb tiktok thoải mái ạ,NEUTRAL
đúng như hình ảnh lúc đầu vdeo nếu con chó con mèo mà thông minh n cũng có thể sd internet ở vn khắp mọi nơi,ERROR
sao làm ik sì mà khong có số,NEGATIVE
buồn cười quá,POSITIVE
hẹn giờ mình đang fpt mà chán lắm trước đây mình có xài viettel năm rồi ok lắm,POSITIVE
vì hải tui mới vào đấy có hải là vào liền,NEUTRAL
cảm mơ anh zai nhiều,POSITIVE
e đăng ký thành công r,POSITIVE
chơi con sony xz ngon nhỉ,POSITIVE
quảng cáo vô lý,NEGATIVE
tôi muốn lắp mạng spt,NEUTRAL
hóng mãi mới ra,POSITIVE
may quá thế này thì sống sót qua thời gian đứt cáp quang rồi,POSITIVE
uii anh giống em thế,NEUTRAL
em duoc rồi cảm ơn anh,POSITIVE
thế g chơi liên quân được khong đảm bảo khong lang khong ad,NEUTRAL
cô nhân viên tổng đài xinh lắm luôn chuẩn,POSITIVE
dùng số số nào cũng tạch,NEGATIVE
chị phương xinh đẹp,POSITIVE
mình cập nhật rồi mà sao vẫn thông tin ng khác vậy,NEGATIVE
bỗng hôm nay ah chuyền hết sự may mắn cho em,POSITIVE
sao làm được bạn,NEUTRAL
tu hao viet nam tu hao viettel,POSITIVE
bị vô hiệu hóa thì làm sao à anh,NEGATIVE
con thú bông đó xinh quá vậy,POSITIVE
đăng kí gói facebook s ạ,NEUTRAL
em duoc nek,POSITIVE
ơ duoc nè,POSITIVE
thích bà phương qué,POSITIVE
đúng lúc hết mạng em cảm ơn anh nhiều nhá a đẹp trai,POSITIVE
g vettell moi tháng được tặng gb hk chị,NEUTRAL
có mấy phí khong,NEUTRAL
cho em hỏi số thuê bao không ba tám bốn bảy một ba không ba năm có đăng kí gói umaxn được không,NEUTRAL
cảm ơn a nhiều lém,POSITIVE
đúng là đồ của quân đội hơn hẳn fpt bậc fpt toàn chém gió còn ông viettel này cứ im im mà làm thôi không làm được thì không nói ai như ông fpt nổ banh trời,POSITIVE
tôi ở quy nhơn bình định dùng viettel thì có sự cố gọi chờ từ sáng tới tối không thấy ai tới khắc phục tối h nhận được cuộc gọi báo tối rồi để sáng mai sửa hết ngày không chỉ lần mà là trên lần rồi dịch vụ hơi tệ mấy bác viettel ơi,NEGATIVE
hit ăn luôn ngon,POSITIVE
ad ơi có gói cước nào dùng app trung quốc duoc khong ạ,NEUTRAL
anh cho em hỏi vnpt tất cả các gói đều có wifi hết chưa anh,NEUTRAL
y như tôi,NEUTRAL
quang hải đẹp trai quá ước gì được gặp quang hải,POSITIVE
viettel quá đỉnh,POSITIVE
em đen giống anh rồi,NEGATIVE
bảo trì fpt nhanh hơn viet heo oái giờ ơi viet heo mà modeo gặp sự cố một phát dù ở tp nhưng chờ nó mất cả mấy ngày fpt phút mốt nói chung là khá khó chịu với dịch vụ cskh của viet heo nhưng đương truyền s dung khá ổn định nha,NEGATIVE
chúc cho tập đoàn viễn thông viettel phát triển vững mạnh hiện đại toàn diện vươn tầm thế giới đầu tư ra nhiều quốc gia trên thế giới đem lại nhiều lợi nhuận cho đất nước,POSITIVE
chả cần soạn tin tự được,POSITIVE
hy vọng sau này còn nhiều gói cước hay hơn nữa,POSITIVE
mn cho e hỏi tí sao logo mới chữ v trong từ viet khong duoc viết hoa vậy,NEUTRAL
e rất thik xem những video cs a quang hải luôn,POSITIVE
vãi có ae chửi ổng rồi kêu xui mà khong biết rằng vid up,NEUTRAL
viettel mà sang angola thời điểm này thì cả nước sẽ dõi theo vì có team q linh ở đó,POSITIVE
em đen quá,NEGATIVE
dùng viettel bao nhiêu năm nay vẫn thích chẳng có ý nghĩ là đổi mạng khác chất lượng dịch vụ cũng như chăm sóc khách hàng cảm thấy ok,POSITIVE
ôi dồi ôi em cảm ơn anh nhiều nha em đăng ký thành công rồi ạ rất rất cảm ơn anh,POSITIVE
tự hào việt nam tôi,POSITIVE
nay trông bảnh,POSITIVE
dùng viettel dùng luôn cả em này,POSITIVE
gói này mới đăng ký xong không giới hạn tốc độ thế mới yêu chứ,POSITIVE
sao đang ký hoài khong duoc ta,NEGATIVE
mytel lên rồi lại xuống,NEUTRAL
em đen như anh luôn còn đúng cái nịt,NEGATIVE
content chất lượng như mọi khi,POSITIVE
ơ duoc này,POSITIVE
có duoc tán em nào tổng đài khong nhỉ,NEUTRAL
ui cảm ơn anh nha hihi tự nhiên đag hết tiền có g,POSITIVE
